ROM;Clone Of;Name;Year;advmame;mame4all;gngeo;fba
joust;;Joust (White/Green label);1982;;;N/A;N/A
joust2;;Joust 2 - Survival of the Fittest (set 1);1986;;;N/A;N/A
joustwr;joust;Joust (White/Red label);1982;;;N/A;N/A
junglek;;Jungle King (Japan);1982;;;N/A;N/A
karnov;;Karnov (US);1987;;;N/A;N/A
kidniki;;Kid Niki - Radical Ninja (World);1986;;;N/A;N/A
kinst;;Killer Instinct (v1.5d);1994;;N/A;N/A;N/A
kinst2;;Killer Instinct 2 (v1.4);1995;;N/A;N/A;N/A
kinst211;kinst2;Killer Instinct 2 (v1.1);1995;;N/A;N/A;N/A
kinst213;kinst2;Killer Instinct 2 (v1.3);1995;;N/A;N/A;N/A
klax;;Klax (set 1);1989;;;N/A;N/A
klax3;klax;Klax (set 3);1989;;;N/A;N/A
knights;;Knights of the Round (World 911127);1991;;;N/A;
kof2000;;The King of Fighters 2000;2000;;N/A;;
kof99;;The King of Fighters '99 - Millennium Battle (set 1);1999;;N/A;;
kof99e;kof99;The King of Fighters '99 - Millennium Battle (earlier);1999;;N/A;N/A;N/A
kof99n;kof99;The King of Fighters '99 - Millennium Battle (not encrypted);1999;;N/A;N/A;N/A
kotm;;King of the Monsters (set 1);1991;;;;
kov2;;Knights of Valour 2;2000;;N/A;N/A;N/A
kungfud;kungfum;Kung-Fu Master (Data East);1984;;;N/A;N/A
kungfum;;Kung-Fu Master;1984;;;N/A;N/A
lastday;;The Last Day (set 1);1990;;N/A;N/A;N/A
leaguemn;nbbatman;Yakyuu Kakutou League-Man (Japan);1993;;N/A;N/A;N/A
lkageb3;lkage;The Legend of Kage (bootleg set 3);1984;;;N/A;N/A
lostwsga;;The Lost World;1997;;N/A;N/A;N/A
luckywld;;Lucky & Wild;1992;;N/A;N/A;N/A
lwings;;Legendary Wings (US set 1);1986;;;N/A;N/A
madgear;;Mad Gear (US);1989;;;N/A;N/A
manxtt;;Manx TT Superbike;1995;;N/A;N/A;N/A
marble;;Marble Madness (set 1);1984;;;N/A;N/A
mario;;Mario Bros. (US);1983;;;N/A;N/A
megaman;;Mega Man - The Power Battle (CPS1 Asia 951006);1995;;;N/A;
metamrph;;Metamorphic Force (ver EAA);1993;;N/A;N/A;N/A
mk2chal;mk2;Mortal Kombat II Challenger (hack);1993;;N/A;N/A;N/A
mmatrix;;Mars Matrix: Hyper Solid Shooting (US 000412);2000;;N/A;N/A;
mmatrixj;mmatrix;Mars Matrix: Hyper Solid Shooting (Japan 000412);2000;;N/A;N/A;
mnight;;Mutant Night;1987;;;N/A;N/A
mp_sor2;;Streets of Rage II (Mega Play);1993;;N/A;N/A;N/A
msh;;Marvel Super Heroes (Euro 951024);1995;;N/A;N/A;
mshvsf;;Marvel Super Heroes Vs. Street Fighter (Euro 970625);1997;;N/A;N/A;
mshvsfj;mshvsf;Marvel Super Heroes Vs. Street Fighter (Japan 970707);1997;;N/A;N/A;
mshvsfj1;mshvsf;Marvel Super Heroes Vs. Street Fighter (Japan 970702);1997;;N/A;N/A;
mshvsfu1;mshvsf;Marvel Super Heroes Vs. Street Fighter (US 970625);1997;;N/A;N/A;
mslug;;Metal Slug - Super Vehicle-001;1996;;;;
mslug2;;Metal Slug 2 - Super Vehicle-001/II;1998;;;;
mslug3;;Metal Slug 3;2000;;N/A;;
mslug3n;mslug3;Metal Slug 3 (not encrypted);2000;;N/A;N/A;N/A
mslugx;;Metal Slug X - Super Vehicle-001;1999;;N/A;;
mt_beast;;Altered Beast (Mega-Tech);1988;;N/A;N/A;N/A
mt_revsh;;The Revenge of Shinobi (Mega-Tech);1989;;N/A;N/A;N/A
mvsc;;Marvel Vs. Capcom: Clash of Super Heroes (Euro 980112);1998;;N/A;N/A;
neobombe;;Neo Bomberman;1997;;;;
neodrift;;Neo Drift Out - New Technology;1996;;;;
neogeo;;Neo-Geo;1990;not runnable;;N/A;
neomrdo;;Neo Mr. Do!;1996;;;;
nitd;;Nightmare in the Dark;2000;;N/A;;N/A
nslasher;;Night Slashers (Korea Rev 1.3);1994;;N/A;N/A;N/A
offroad;;Ironman Stewart's Super Off-Road;1989;;;N/A;N/A
oneshot;;One Shot One Kill;0;;N/A;N/A;N/A
opwolf;;Operation Wolf (World);1987;;N/A;N/A;N/A
othundu;othunder;Operation Thunderbolt (US);1988;;N/A;N/A;N/A
outrun;;Out Run (set 3);1986;;;N/A;N/A
pacman;puckman;Pac-Man (Midway);1980;;;N/A;N/A
pacnpal;;Pac & Pal;1983;;;N/A;N/A
pang;;Pang (World);1989;;;N/A;N/A
paperboy;;Paperboy (rev 3);1984;;;N/A;N/A
passht4b;passsht;Passing Shot (4 Players) (bootleg);1988;;;N/A;N/A
pbobbl2n;;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);1999;;N/A;;
pbobbl2u;pbobble2;Bust-A-Move Again (Ver 2.3A 1995/07/31);1995;;N/A;N/A;N/A
pbobbl3u;pbobble3;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);1996;;N/A;N/A;N/A
pbobbl4j;pbobble4;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);1997;;N/A;N/A;N/A
pbobbl4u;pbobble4;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);1997;;N/A;N/A;N/A
pbobble2;;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);1995;;N/A;N/A;N/A
pbobble3;;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);1996;;N/A;N/A;N/A
pbobble4;;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;;N/A;N/A;N/A
pbobblen;;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);1994;;N/A;;
pgoal;;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;1996;;;;
pigskin;;Pigskin 621AD;1990;;;N/A;N/A
polepos;;Pole Position;1982;;;N/A;N/A
polepos2;;Pole Position II;1983;;;N/A;N/A
pow;;P.O.W. - Prisoners of War (US);1988;;;N/A;N/A
preisle2;;Prehistoric Isle 2;1999;;N/A;;
primglex;;Prime Goal EX (PG1/VER.A);1996;;N/A;N/A;N/A
progear;;Progear (US 010117);2001;;N/A;N/A;
pspikes2;;Power Spikes II;1994;;;;
psychic5;;Psychic 5;1987;;;N/A;N/A
puckmana;puckman;PuckMan (Japan set 2);1980;;N/A;N/A;N/A
pulstar;;Pulstar;1995;;;;
punisher;;The Punisher (World 930422);1993;;;N/A;
pwrgoal;;Taito Power Goal (Ver 2.5O 1994/11/03);1994;;N/A;N/A;N/A
qbert;;Q*bert (US set 1);1982;;;N/A;N/A
raiden2;;Raiden 2 (set 1, US Fabtek);1993;;N/A;N/A;N/A
rampage;;Rampage (revision 3);1986;;;N/A;N/A
rampart;;Rampart (Trackball);1990;;;N/A;N/A
ramprt2p;rampart;Rampart (Joystick);1990;;;N/A;N/A
raystorm;;Ray Storm (Ver 2.06A);1996;;N/A;N/A;N/A
rbff2;;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (set 1);1998;;;;
redlin2p;;Redline Racer (2 players);1987;;;N/A;N/A
renegade;;Renegade (US);1986;;;N/A;N/A
ringrage;;Ring Rage (Ver 2.3O 1992/08/09);1992;;N/A;N/A;N/A
roadrunn;;Road Runner (rev 2);1985;;;N/A;N/A
roboarmy;;Robo Army (set 1);1991;;;;
robocop;;Robocop (World revision 4);1988;;;N/A;N/A
robocopj;robocop;Robocop (Japan);1988;;N/A;N/A;N/A
robocp2j;robocop2;Robocop 2 (Japan v0.11);1991;;N/A;N/A;N/A
rthunder;;Rolling Thunder (new version);1986;;;N/A;N/A
rtype2;;R-Type II;1989;;;N/A;N/A
rtypeleo;;R-Type Leo (World);1992;;;N/A;N/A
rygar;;Rygar (US set 1);1986;;;N/A;N/A
s1945;;Strikers 1945;1995;;N/A;N/A;N/A
samsho;;Samurai Shodown / Samurai Spirits;1993;;;;
sbbros;spang;Super Buster Bros. (US 901001);1990;;;N/A;N/A
scontra;;Super Contra;1988;;;N/A;N/A
sengekij;sengekis;Sengeki Striker (Japan);1997;;N/A;N/A;N/A
sf;;Street Fighter (World);1987;;N/A;N/A;N/A
sf2;;Street Fighter II - The World Warrior (World 910522);1991;;;N/A;
sf2049;;San Francisco Rush 2049;1998;;N/A;N/A;N/A
sf2ce;;Street Fighter II' - Champion Edition (World 920313);1992;;;N/A;
sf2v004;sf2ce;Street Fighter II! - Champion Edition (V004);1992;;N/A;N/A;
sfa2;;Street Fighter Alpha 2 (US 960306);1996;;N/A;N/A;
sfa3;;Street Fighter Alpha 3 (US 980904);1998;;N/A;N/A;
sfiii;;Street Fighter III: New Generation;1997;;N/A;N/A;N/A
sfiii3;;Street Fighter III 3rd Strike: Fight for the Future;1999;;N/A;N/A;N/A
sfus;sf;Street Fighter (US);1987;;N/A;N/A;N/A
sgemf;;Super Gem Fighter Mini Mix (US 970904);1997;;N/A;N/A;
shangon;;Super Hang-On (set 4, 68000);1987;;;N/A;N/A
shangupb;shangon;Super Hang-On (Hang-On upgrade, bootleg);1992;;N/A;N/A;N/A
sharrier;;Space Harrier (Rev A, 8751 315-5163A);1985;;;N/A;N/A
shdance1;shdancer;Shadow Dancer (set 1);1989;;N/A;N/A;N/A
shdancej;shdancer;Shadow Dancer (set 2, Japan);1989;;N/A;N/A;N/A
shdancer;;Shadow Dancer (set 3, US);1989;;;N/A;N/A
shinobi;;Shinobi (set 5, System 16A, unprotected);1987;;;N/A;
shinobi2;shinobi;Shinobi (set 2, System 16B, FD1094 317-0049);1987;;N/A;N/A;N/A
shootout;;Shoot Out (US);1985;;;N/A;N/A
sidepckt;;Side Pocket (World);1986;;;N/A;N/A
simpsons;;The Simpsons (4 Players);1991;;;N/A;N/A
slapfigh;;Slap Fight (set 1);1986;;;N/A;N/A
snowbro2;;Snow Bros. 2 - With New Elves / Otenki Paradise;1994;;;N/A;
snowbroa;snowbros;Snow Bros. - Nick & Tom (set 2);1990;;;N/A;
snowbrob;snowbros;Snow Bros. - Nick & Tom (set 3);1990;;;N/A;
snowbros;;Snow Bros. - Nick & Tom (set 1);1990;;;N/A;
soccerss;;Soccer Superstars (ver EAA);1994;;N/A;N/A;N/A
solomon;;Solomon's Key (Japan);1986;;;N/A;
sonicwi2;;Aero Fighters 2 / Sonic Wings 2;1994;;;;
sonicwi3;;Aero Fighters 3 / Sonic Wings 3;1995;;;;
soulclbr;;Soul Calibur (SOC14/VER.C);1998;;N/A;N/A;N/A
spdodgeb;;Super Dodge Ball (US);1987;;N/A;N/A;N/A
speedrcr;;Speed Racer;1995;;N/A;N/A;N/A
spf2t;;Super Puzzle Fighter II Turbo (US 960620);1996;;N/A;N/A;
spf2xj;spf2t;Super Puzzle Fighter II X (Japan 960531);1996;;N/A;N/A;
splatter;;Splatter House (World);1988;;;N/A;N/A
spnchout;;Super Punch-Out!!;1984;;;N/A;N/A
spool3;pcktgal;Super Pool III (World?);1989;;;N/A;N/A
spyhunt;;Spy Hunter;1983;;;N/A;N/A
spyhunt2;;Spy Hunter 2 (rev 2);1987;;;N/A;N/A
sqix;;Super Qix (set 1);1987;;N/A;N/A;N/A
srally2;;Sega Rally 2;1998;;N/A;N/A;N/A
ssf2;;Super Street Fighter II: The New Challengers (World 930911);1993;;N/A;N/A;
ssf2t;ssf2;Super Street Fighter II Turbo (World 940223);1994;;N/A;N/A;
ssideki2;;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football;1994;;;;N/A
ssprint;;Super Sprint (rev 4);1986;;;N/A;N/A
ssrdruac;ssriders;Sunset Riders (4 Players ver UAC);1991;;;N/A;N/A
ssrdrubc;ssriders;Sunset Riders (2 Players ver UBC);1991;;;N/A;N/A
ssrdruda;ssriders;Sunset Riders (4 Players ver UDA);1991;;;N/A;N/A
ssriders;;Sunset Riders (4 Players ver EAC);1991;;;N/A;N/A
strhoop;;Street Hoop / Street Slam / Dunk Dream;1994;;;;
strider2;;Strider 2 (USA 991213);1999;;N/A;N/A;N/A
stvbios;;ST-V Bios;1996;not runnable;N/A;N/A;N/A
suzuk8h2;;Suzuka 8 Hours 2 (World);1993;;N/A;N/A;N/A
tapper;;Tapper (Budweiser);1983;;;N/A;N/A
tdfever;;TouchDown Fever;1987;;;N/A;N/A
tekken3;;Tekken 3 (TET1/VER.E1);1996;;N/A;N/A;N/A
term2;;Terminator 2 - Judgment Day (rev LA3 03/27/92);1991;;;N/A;N/A
term2la1;term2;Terminator 2 - Judgment Day (rev LA1 11/01/91);1991;;N/A;N/A;N/A
term2la2;term2;Terminator 2 - Judgment Day (rev LA2 12/09/91);1991;;N/A;N/A;N/A
tmnt22p;tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);1991;;;N/A;N/A
tmntu;tmnt;Teenage Mutant Ninja Turtles (US 4 Players, set 1);1989;;N/A;N/A;N/A
tnk3;;T.N.K. III (US);1985;;;N/A;N/A
toki;;Toki (World set 1);1989;;;N/A;N/A
trisport;;Tri-Sports;1989;;;N/A;N/A
tturfu;tturf;Tough Turf (set 1, US, 8751 317-0099);1989;;;N/A;N/A
tutstomb;;Tut's Tomb;1996;;N/A;N/A;N/A
twincobr;;Twin Cobra (World);1987;;;N/A;N/A
twincobu;twincobr;Twin Cobra (US);1987;;;N/A;N/A
twocrude;cbuster;Two Crude (US);1990;;;N/A;N/A
uccops;;Undercover Cops (World);1992;;;N/A;N/A
undrfire;;Under Fire (World);1993;;N/A;N/A;N/A
vaportrx;;Vapor TRX;1998;;N/A;N/A;N/A
vball;;U.S. Championship V'ball (set 1);1988;;N/A;N/A;N/A
victroad;;Victory Road;1986;;;N/A;N/A
vigilant;;Vigilante (World);1988;;;N/A;N/A
viper;;Viper;1988;;;N/A;N/A
vsav;;Vampire Savior: The Lord of Vampire (Euro 970519);1997;;N/A;N/A;
wb3;;Wonder Boy III - Monster Lair (set 5, World, System 16B, 8751 317-0098);1988;;;N/A;
wbeachvl;;World Beach Volley (set 1);1995;;N/A;N/A;N/A
wbml;;Wonder Boy in Monster Land (Japan New Ver.);1987;;;N/A;N/A
wboy;;Wonder Boy (set 1, new encryption);1986;;;N/A;N/A
wboy3;wboy;Wonder Boy (set 3);1986;;;N/A;N/A
