# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
topgun||Vs. Top Gun|Shooter / Flying 1st Person|Konami|1987|topgun|topgun
topgunbl|jackal|Top Gunner (bootleg)|Shooter / Driving Vertical|bootleg|1986|jackal|jackal
topgunnr||Top Gunner (Exidy)||Exidy|1986||
topgunr|jackal|Top Gunner (US)|Shooter / Driving Vertical|Konami|1986|jackal|jackal
tophuntr||Top Hunter - Roddy & Cathy (NGM-046)|Platform / Fighter Scrolling|SNK|1994|tophuntr|tophuntr
topland||Top Landing (World)|Misc.|Taito Corporation Japan|1988|topland|topland
toppyrap||Toppy & Rappy||SemiCom|1996||
topracer|polepos|Top Racer (with MB8841 + MB8842, 1984)|Driving / Race (chase view)|bootleg|1984|polepos|polepos
toprollr||Top Roller||Jaleco|1983||
topsecex||Top Secret (Exidy) (version 1.0)|Shooter / Driving|Exidy|1986|topsecex|topsecex
topsecrt|bionicc|Top Secret (Japan, old revision)|Platform / Shooter Scrolling|Capcom|1987|bionicc|bionicc
topshoot||Top Shooter||Sun Mixing|1995||
topskatr||Top Skater (Export, Revision A)|Unplayable|Sega|1997||
topspeed||Top Speed (World)|Driving / Race (chase view)|Taito Corporation Japan|1987|topspeed|topspeed
toramich|tigeroad|Tora e no Michi (Japan)|Platform / Fighter Scrolling|Capcom|1987|tigeroad|tigeroad
toratora||Tora Tora (prototype?)|Shooter / Gallery|Game Plan|1980|toratora|toratora
toride2g||Toride II Adauchi Gaiden|Puzzle / Match|Metro|1994|toride2g|toride2g
tornado1|defender|Tornado (set 1, Defender bootleg)|Shooter / Flying|bootleg (Jeutel)|1980|defender|defender
tornado2|defender|Tornado (set 2, Defender bootleg)|Shooter / Flying|bootleg (Jeutel)|1980|defender|defender
tornbase||Tornado Baseball / Ball Park|Sports / Baseball|Midway / Taito|1976|tornbase|tornbase
torus||Torus||Yun Sung|1996||
toryumon||Toryumon|Puzzle / Drop|Sega|1994|toryumon|toryumon
totcarn||Total Carnage (rev LA1 03/10/92)|Shooter / Walking|Midway|1992|totcarn|totcarn
totcarnp|totcarn|Total Carnage (prototype, rev 1.0 01/25/92)|Shooter / Walking|Midway|1992|totcarn|totcarn
totlvice||Total Vice (ver UAC)||Konami|1997||
touchgo||Touch & Go (World)|Sports / Volleyball|Gaelco|1995|touchgo|touchgo
touchgoe|touchgo|Touch & Go (earlier revision)||Gaelco|1995|touchgo|touchgo
touchgon|touchgo|Touch & Go (Non North America)||Gaelco|1995|touchgo|touchgo
tourtab2|tourtabl|Tournament Table (set 2)|Multiplay|Atari|1978|tourtabl|tourtabl
